,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
175,0FuZu5ggJemfqBorcUCJEr,,0.268,0.189,7,-17.844,0,0.0407,0.989,0.895,0.114,0.111,66.637,classical
176,2wh2je0SeU5zZaNMghMfz9,,0.242,0.0308,1,-32.624,0,0.0747,0.993,0.942,0.0951,0.104,63.07,classical
177,3YYqr57gEURJQGxuQ5EV7c,https://p.scdn.co/mp3-preview/cb72e066f3084f4353d42ebcdc43a60be033fd79?cid=5753b92e6a084808bea42ea533c53400,0.12,0.0895,9,-20.802,1,0.036,0.845,0.883,0.16,0.0398,85.043,classical
178,4rCjX8MpATh0rxtuPry563,https://p.scdn.co/mp3-preview/16c408ea03429a74cbed2fd20a3f830f51f149d3?cid=5753b92e6a084808bea42ea533c53400,0.41,0.0892,0,-20.308,1,0.0551,0.929,0.367,0.375,0.389,78.749,classical
179,1EHIpqrauZPi65SDE9eTeL,https://p.scdn.co/mp3-preview/2f76e6bbf3be9013171957cbf0652447ed72e221?cid=5753b92e6a084808bea42ea533c53400,0.134,0.0546,0,-26.69,1,0.0574,0.984,2.15e-05,0.111,0.0479,74.341,classical
180,5uVTvL2iGw42HhdM2R8Nhk,https://p.scdn.co/mp3-preview/d46c71e24fa3d5ca8d9b8cdc32e92f537a30433d?cid=5753b92e6a084808bea42ea533c53400,0.233,0.168,10,-21.091,1,0.0341,0.976,0.9,0.105,0.0635,69.013,classical
181,2Rng45EgVYKORVBUHDN51E,https://p.scdn.co/mp3-preview/0474ee77c9b9c84dad6369716082fb03f2269b79?cid=5753b92e6a084808bea42ea533c53400,0.458,0.0844,11,-15.553,0,0.0513,0.95,0.268,0.0844,0.237,114.196,classical
182,6YZ0UaFj0js2FXYF63FO1G,https://p.scdn.co/mp3-preview/e37c69bbcf225d70b99d0fbed3a6b1a03f96ca4d?cid=5753b92e6a084808bea42ea533c53400,0.202,0.0513,8,-16.955,0,0.0356,0.84,0.00948,0.0969,0.0392,97.839,classical
183,2MyWdPMQtipdlfGAff5tHM,https://p.scdn.co/mp3-preview/616f2db23cc96200cf3b68aaa1679cdd016409a9?cid=5753b92e6a084808bea42ea533c53400,0.371,0.0814,10,-19.738,0,0.0416,0.933,1.82e-05,0.32,0.32,120.264,classical
184,5NOQ0S9kFSQI971qdZHp0L,https://p.scdn.co/mp3-preview/d92977f8b0a22aee3ac1a87adde4d0e500ebb517?cid=5753b92e6a084808bea42ea533c53400,0.161,0.0988,9,-22.907,0,0.037,0.991,0.000255,0.0767,0.0488,132.28,classical
185,38EmZT3oWA6lJE0o4ajfG8,https://p.scdn.co/mp3-preview/9ac4fdbd2ba86570c6359b3d8813ebd2f2b8d0c6?cid=5753b92e6a084808bea42ea533c53400,0.331,0.169,9,-19.859,1,0.0325,0.994,0.886,0.121,0.258,97.836,classical
186,4NlAYitNr1hthOqxYRhom4,https://p.scdn.co/mp3-preview/65fd2f5a94f6bac9e76a812b72c152b25dd83c7f?cid=5753b92e6a084808bea42ea533c53400,0.149,0.16,5,-17.345,1,0.0443,0.991,0.823,0.1,0.0782,71.585,classical
187,5PtmAQ3m2jxhUkDVFQAJag,https://p.scdn.co/mp3-preview/283825ccd508b5825e099def9c027976d1d455b0?cid=5753b92e6a084808bea42ea533c53400,0.144,0.023,5,-24.469,1,0.0463,0.985,0.901,0.0908,0.132,94.496,classical
188,7xI0wxBQhYMSWDhkuvbRgM,https://p.scdn.co/mp3-preview/ebda6fbc4af70b43e522a875ff6556e941d20ca9?cid=5753b92e6a084808bea42ea533c53400,0.384,0.0274,4,-26.64,0,0.0339,0.975,0.623,0.23,0.196,86.948,classical
189,27aKyYxz7dG6Pcnd7UNMjY,https://p.scdn.co/mp3-preview/48c370d65207441fb742d15c67636093565c30f3?cid=5753b92e6a084808bea42ea533c53400,0.246,0.282,0,-23.445,0,0.0523,0.983,0.883,0.109,0.219,172.599,classical
190,3mGkPsZbHEBf8ZT1ExZnww,https://p.scdn.co/mp3-preview/8b8d3786923b186e7e09d0352a7b68b240ec68dc?cid=5753b92e6a084808bea42ea533c53400,0.349,0.134,7,-21.963,0,0.0505,0.821,0.0487,0.0464,0.429,118.069,classical
191,6YNE1CO3l2jGkPPm21vTF4,https://p.scdn.co/mp3-preview/62abe3a6425dcb8fe8d2b6bf082749b59a298c99?cid=5753b92e6a084808bea42ea533c53400,0.333,0.067,3,-20.798,0,0.038,0.992,0.857,0.0868,0.0997,61.396,classical
192,06gaSZpTxkLgZ7gZVlXCw3,,0.33,0.0797,2,-21.436,1,0.0465,0.862,0.569,0.0934,0.0454,138.162,classical
193,3fs0Eqia0qbxDbXlig0hox,https://p.scdn.co/mp3-preview/88be57dca382c8eab4b20a553db0e66c062b7612?cid=5753b92e6a084808bea42ea533c53400,0.245,0.106,9,-20.975,0,0.0377,0.98,0.177,0.179,0.0398,71.358,classical
194,58qh2knusdkbiX9jPUFZVK,https://p.scdn.co/mp3-preview/d0b7176da6d4797faf29e34f1d3276d7ce3c0916?cid=5753b92e6a084808bea42ea533c53400,0.113,0.113,8,-24.447,1,0.0464,0.995,0.925,0.0647,0.0367,81.114,classical
195,46JsxiI6tGMzipdW6CY40H,https://p.scdn.co/mp3-preview/79600ef20c2d3e39b64407d9047c7995a91f2ab9?cid=5753b92e6a084808bea42ea533c53400,0.164,0.156,9,-20.916,1,0.0423,0.995,0.445,0.0915,0.0396,136.432,classical
196,4A1VmZQ2rdCS07En1TLDNb,https://p.scdn.co/mp3-preview/0b2ea361342bcc14321f9e10d41f739ae4b7cfb3?cid=5753b92e6a084808bea42ea533c53400,0.525,0.144,8,-22.617,1,0.0349,0.984,0.89,0.186,0.321,115.509,classical
197,1chTrqszWQEOP4RsNuOZf7,,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,classical
198,1dKfgRB25PsUtFgtobt60a,https://p.scdn.co/mp3-preview/1b5784dbb293ab23c5c57a26fbeca6e5664453ce?cid=5753b92e6a084808bea42ea533c53400,0.475,0.305,7,-19.543,1,0.185,0.989,0.802,0.679,0.593,79.952,classical
199,4iUQ9SxroN3CtLIzwdf8HB,https://p.scdn.co/mp3-preview/75f6eced47397705e860c3ae21baf726ac2b853c?cid=5753b92e6a084808bea42ea533c53400,0.356,0.17,3,-21.987,1,0.0379,0.975,0.898,0.0843,0.0456,109.658,classical
200,7lUE02KHkZM44BZgjCaWRO,https://p.scdn.co/mp3-preview/f6dfac65dca2d04ebfbf7f729ae381dd2ae7221c?cid=5753b92e6a084808bea42ea533c53400,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11,country
201,0158TMiGmHyibaDeaUKayX,https://p.scdn.co/mp3-preview/03a447d53386050cba839f2afd67a295ae82e3ff?cid=5753b92e6a084808bea42ea533c53400,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002,country
202,1ipcb9qXpSHWhSUvdxJhsx,https://p.scdn.co/mp3-preview/fd26f12ffdbde87d3cda42efcb5af2988a49c374?cid=5753b92e6a084808bea42ea533c53400,0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,country
203,3oW6SWwGqiZSPTiAp7ZQoH,https://p.scdn.co/mp3-preview/67e1eedcad1f20a589a04a0490d9b663184df0aa?cid=5753b92e6a084808bea42ea533c53400,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,country
204,2ulBBx6YQ3qY3ci34RadtN,,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,country
205,3nKLfeoq3YedJIZqvRW3Qz,,0.68,0.589,0,-10.01,1,0.0247,0.152,0.0,0.378,0.696,93.865,country
206,6Lmx6bz3PGYuNSjKMnYBOa,https://p.scdn.co/mp3-preview/0abb144994b03f3b1ce3c47b84683334d07094b0?cid=5753b92e6a084808bea42ea533c53400,0.607,0.815,4,-6.619,1,0.039,0.0471,2.81e-05,0.111,0.57,136.949,country
207,0NLBwQBYJhEM9t3KAMPFVR,https://p.scdn.co/mp3-preview/4c8eec82925af514a38201e76266c63ad319ac3b?cid=5753b92e6a084808bea42ea533c53400,0.771,0.848,2,-7.365,1,0.035,0.108,0.0,0.35,0.803,115.642,country
208,6qc34bnVOyqGDPni8H5W0U,https://p.scdn.co/mp3-preview/263c5f57cf0b3833170690feab03aa66495fb8d8?cid=5753b92e6a084808bea42ea533c53400,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,country
209,001UkMQHw4zXfFNdKpwXAF,https://p.scdn.co/mp3-preview/20f3865bebd50d0f378448b2fce020d41954ac5c?cid=5753b92e6a084808bea42ea533c53400,0.573,0.846,7,-4.866,1,0.0344,0.00372,7.87e-05,0.29,0.562,127.061,country
210,3Q9t1A12iUemHTAWnH7PjD,,0.759,0.723,0,-9.315,1,0.028,0.173,0.0,0.179,0.962,136.746,country
211,3aKAdHDxhYu2gpbQMYSEkv,https://p.scdn.co/mp3-preview/adadfbfd54d4b74880c1d86ad97750e661cab1eb?cid=5753b92e6a084808bea42ea533c53400,0.6,0.242,0,-12.63,1,0.031,0.697,0.0,0.128,0.3,106.616,country
212,2oyS4THTUzUxT2lnHGzzIr,,0.764,0.646,9,-9.424,1,0.0302,0.367,0.0,0.0849,0.877,116.141,country
213,2TIEeLrOQrGnO2D2OeDDJu,https://p.scdn.co/mp3-preview/e4ae2d412a423566fa2c7f903f3f35aa7e1bf9c2?cid=5753b92e6a084808bea42ea533c53400,0.856,0.517,6,-9.232,0,0.0293,0.563,0.000164,0.144,0.479,118.399,country
214,3otZLoLcx2d74hx8RaHXh6,https://p.scdn.co/mp3-preview/9948a6ff2c7c68090c31903bc3d8e79443e3552d?cid=5753b92e6a084808bea42ea533c53400,0.711,0.491,7,-10.323,1,0.0295,0.381,9.12e-06,0.249,0.671,121.294,country
215,3dSUY34vmIYWJn0M6oZ3BD,https://p.scdn.co/mp3-preview/b60d5ecd20c3661572663e37805fa12e884fdd16?cid=5753b92e6a084808bea42ea533c53400,0.712,0.723,7,-7.47,1,0.0377,0.426,0.0,0.264,0.867,140.566,country
216,68Q1r5zDnnYaHkh80yal4A,,0.5,0.665,8,-7.157,1,0.0355,0.0237,6.41e-05,0.0994,0.32,154.997,country
217,2MiXC2LfpsoeUP5RvMGEQ3,,0.428,0.51,7,-11.695,0,0.103,0.52,8.32e-06,0.105,0.393,169.967,country
218,26bL4gSULWDgdIMX0pRFrG,https://p.scdn.co/mp3-preview/ad66fb50ac360c1e91fd053e5ec0add7fcffc724?cid=5753b92e6a084808bea42ea533c53400,0.499,0.825,6,-5.146,1,0.177,0.13,0.0,0.306,0.753,185.069,country
219,2uX5f3x2cObov0iDAPln4o,https://p.scdn.co/mp3-preview/c23ddf8d6aaf8dfeecaf505d39345171a70ee9cf?cid=5753b92e6a084808bea42ea533c53400,0.486,0.633,9,-8.414,1,0.0365,0.176,0.0,0.312,0.669,162.158,country
220,0Ta3jOf8m9yCSWMVwd8Qlf,https://p.scdn.co/mp3-preview/153ab1088ad9f31691b5fea6b06d670978e92aff?cid=5753b92e6a084808bea42ea533c53400,0.699,0.837,2,-5.173,1,0.0428,0.103,0.0,0.231,0.348,95.493,country
221,29V94tQgMoSJjbzuTliPj6,,0.569,0.782,10,-5.868,1,0.0491,0.105,0.0,0.13,0.595,150.631,country
