,Unnamed: 0,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
38,38,5xNE6bGRS65lxMEBIl6xbT,https://p.scdn.co/mp3-preview/7c8671818d8da1b4af4530bebc081d0f568bc90a?cid=5753b92e6a084808bea42ea533c53400,0.452,0.78,7.0,-11.035,1.0,0.0719,0.027999999999999997,0.0007160000000000001,0.0662,0.456,98.31200000000001,blues
39,39,2ojpe2iiB4hyFQQSv2xfay,https://p.scdn.co/mp3-preview/0fb92b2daf946f9bf677a7f8b25653221af15d16?cid=5753b92e6a084808bea42ea533c53400,0.501,0.446,7.0,-8.673,1.0,0.0507,0.794,0.000711,0.0978,0.35600000000000004,175.25099999999998,blues
40,40,7yXuquZiCxTyLXzPnwlqJv,https://p.scdn.co/mp3-preview/6405126faa62a4e0ee804e7828427d6e561411b8?cid=5753b92e6a084808bea42ea533c53400,0.479,0.423,2.0,-7.7139999999999995,1.0,0.0694,0.768,0.000305,0.294,0.4,169.52700000000002,blues
42,42,3L8DnKNfRS3vv13t1E5jc3,https://p.scdn.co/mp3-preview/517c1a0dfbf4d26338a4dfda005c1070defd8480?cid=5753b92e6a084808bea42ea533c53400,0.39399999999999996,0.337,5.0,-10.709000000000001,0.0,0.0476,0.33899999999999997,0.0431,0.165,0.586,178.32,blues
44,44,2PcbVKT28p9mOlWBDL371J,https://p.scdn.co/mp3-preview/30d9b912fac0f9d722fdcbcfee8999c40f309d32?cid=5753b92e6a084808bea42ea533c53400,0.469,0.23600000000000002,7.0,-16.980999999999998,1.0,0.0364,0.40700000000000003,0.0434,0.215,0.415,82.23200000000001,blues
46,46,3H2LrcYZk56ahcsYvFCar1,https://p.scdn.co/mp3-preview/b135a7de7b869b949eed43f1b554a7cd060ae69c?cid=5753b92e6a084808bea42ea533c53400,0.368,0.484,9.0,-6.2139999999999995,0.0,0.026000000000000002,0.523,0.174,0.0792,0.217,73.35,blues
47,47,2olkoaZoOAjIKR80JTBNid,https://p.scdn.co/mp3-preview/13a5d33e46b167a18fdf1bec33fbd3bbd1013cba?cid=5753b92e6a084808bea42ea533c53400,0.593,0.6779999999999999,9.0,-9.315,1.0,0.0391,0.163,0.0,0.207,0.7929999999999999,118.027,blues
48,48,1nyy7yku79STQ8srWmpnbH,https://p.scdn.co/mp3-preview/3d687b34801aabd4b3fc062843c82eea4c5b43ee?cid=5753b92e6a084808bea42ea533c53400,0.41600000000000004,0.48700000000000004,2.0,-8.749,1.0,0.0345,0.588,0.00162,0.34,0.718,93.262,blues
50,50,48z2rCxqFdlMejXthnbCkX,https://p.scdn.co/mp3-preview/da7cb0b44565fedea04054c5adc2f588c011baaf?cid=5753b92e6a084808bea42ea533c53400,0.34700000000000003,0.466,10.0,-6.6129999999999995,1.0,0.0309,0.672,0.085,0.122,0.321,179.903,blues
51,51,4DmBVImaIhE3RyNvbtZTTz,https://p.scdn.co/mp3-preview/3b0481919e0e8bc05ee22b661cf8de749c8956ed?cid=5753b92e6a084808bea42ea533c53400,0.371,0.634,10.0,-7.648,0.0,0.0277,0.146,0.011000000000000001,0.10400000000000001,0.568,84.977,blues
52,52,3LkhowDvQ0ky3LQ5L6TLFk,https://p.scdn.co/mp3-preview/1a006b6421c7cb65aefdc09900ed38876dd8ae4d?cid=5753b92e6a084808bea42ea533c53400,0.41700000000000004,0.9390000000000001,9.0,-8.797,1.0,0.316,0.0893,0.015,0.617,0.373,139.57299999999998,blues
53,53,7zto61V8ySp03Qi6X1LU2X,https://p.scdn.co/mp3-preview/c27871e6e8f42401527822dd3553af69d252ef1a?cid=5753b92e6a084808bea42ea533c53400,0.5760000000000001,0.0968,6.0,-19.439,0.0,0.036000000000000004,0.546,0.28600000000000003,0.226,0.168,113.23200000000001,blues
55,55,1cyftogE58xHzSgb77zcsn,https://p.scdn.co/mp3-preview/48a154cedebb6dab8324382e94931d4ff144c004?cid=5753b92e6a084808bea42ea533c53400,0.659,0.163,6.0,-11.864,0.0,0.0388,0.7659999999999999,1.4099999999999999e-05,0.0735,0.473,95.882,blues
56,56,05oMNN5Rbv6rVqyFFG9uTl,https://p.scdn.co/mp3-preview/7c36f14a89497d8bd2df6ea49f10f2f326b2d065?cid=5753b92e6a084808bea42ea533c53400,0.5820000000000001,0.302,9.0,-11.624,1.0,0.0353,0.9470000000000001,0.0107,0.0931,0.642,94.288,blues
57,57,3kvie8QLXMcC0sYXq637Ov,https://p.scdn.co/mp3-preview/febae4696899523eca5fc28c15afb46a26575481?cid=5753b92e6a084808bea42ea533c53400,0.624,0.884,0.0,-6.728,1.0,0.032,0.244,0.0,0.348,0.848,134.991,blues
59,59,7tsEMKyEXh7RChUDKpqJRG,https://p.scdn.co/mp3-preview/4a3c17474896dbad16b38a6569a7fdc842684437?cid=5753b92e6a084808bea42ea533c53400,0.17,0.18600000000000003,4.0,-18.887,0.0,0.0336,0.8290000000000001,0.831,0.19399999999999998,0.0726,76.232,blues
60,60,5xSBTdaKgLE0qJTUBWKo0t,https://p.scdn.co/mp3-preview/4c94e648d7c071159a7b26e79eb7d140e2ba6cf5?cid=5753b92e6a084808bea42ea533c53400,0.797,0.431,0.0,-16.457,1.0,0.0625,0.414,0.0359,0.138,0.809,109.89299999999999,blues
61,61,7dig0MXt7MBeqExosATbAq,https://p.scdn.co/mp3-preview/d10094e698ed594583ca55e08ceb86b5bbf8cdb4?cid=5753b92e6a084808bea42ea533c53400,0.867,0.503,8.0,-8.431000000000001,1.0,0.0334,0.8270000000000001,0.46399999999999997,0.184,0.474,111.016,blues
63,63,0p5zJBYoJOzVLBiDeA0PvS,https://p.scdn.co/mp3-preview/d5bc724112597011bf0b49da23f9a9d100b14379?cid=5753b92e6a084808bea42ea533c53400,0.57,0.24100000000000002,4.0,-12.138,1.0,0.0473,0.948,0.0224,0.111,0.5429999999999999,115.352,blues
64,64,2VHZZgvq66rlhzlzuBs0zs,https://p.scdn.co/mp3-preview/4e87512458fbcf5172651887b9559d9ccf75dd80?cid=5753b92e6a084808bea42ea533c53400,0.303,0.767,2.0,-4.824,1.0,0.0333,0.128,0.0399,0.309,0.418,170.0,blues
65,65,4fQMGlCawbTkH9yPPZ49kP,https://p.scdn.co/mp3-preview/6afcf8c2efdb3c33264e8aa5836927df8b65b78c?cid=5753b92e6a084808bea42ea533c53400,0.816,0.514,10.0,-8.741,1.0,0.0339,0.767,0.9490000000000001,0.0899,0.912,136.83700000000002,blues
66,66,1KkUZSQvKFpv53LfRD3JBc,https://p.scdn.co/mp3-preview/5473a2af46df4476035f672a2b6c8348f51cc09c?cid=5753b92e6a084808bea42ea533c53400,0.64,0.304,3.0,-15.785,1.0,0.563,0.642,1.4800000000000002e-05,0.31,0.88,107.569,blues
67,67,0fM0mFxHP1R4KPX1PB8tWU,https://p.scdn.co/mp3-preview/9e6a0f63319fd877b396b529d86c54c9d0d25afa?cid=5753b92e6a084808bea42ea533c53400,0.507,0.66,2.0,-4.957,1.0,0.0306,0.0115,0.336,0.322,0.696,100.78299999999999,blues
69,69,3jRNewOWPcFohvcvqgP4Ci,https://p.scdn.co/mp3-preview/7089fd43ce5a21b778417d946d95870500665202?cid=5753b92e6a084808bea42ea533c53400,0.69,0.366,0.0,-12.055,0.0,0.0422,0.0374,0.129,0.0736,0.748,156.463,blues
70,70,1TrGdXSgiBm8W68D2K1COG,https://p.scdn.co/mp3-preview/15f4fb795c08eaded1a326baa0e72cfc05ad1ddf?cid=5753b92e6a084808bea42ea533c53400,0.675,0.311,9.0,-11.959000000000001,1.0,0.0525,0.93,0.000261,0.102,0.638,97.15899999999999,blues
72,72,0EIVfSsMX5NNTLKJPqej7Y,https://p.scdn.co/mp3-preview/0d4ab632065bd0c7877159a8d3d7a0373e24bb27?cid=5753b92e6a084808bea42ea533c53400,0.457,0.525,2.0,-8.182,1.0,0.0261,0.226,0.142,0.0947,0.265,181.983,blues
73,73,2ZC5ygLIJEMuLTiElPFTnC,https://p.scdn.co/mp3-preview/a34b2d5cd7c0252204d283ee203af8f26c06aa9d?cid=5753b92e6a084808bea42ea533c53400,0.483,0.7440000000000001,7.0,-9.683,1.0,0.0562,0.304,0.0935,0.133,0.647,95.477,blues
75,75,4qrrz2Pd8hMpPyIKSscyNs,https://p.scdn.co/mp3-preview/0fe67a5abcf32c2e3ecf8bed798a6d640f0e591c?cid=5753b92e6a084808bea42ea533c53400,0.774,0.442,9.0,-8.728,1.0,0.0308,0.7909999999999999,0.0007469999999999999,0.0834,0.885,78.09899999999999,blues
76,76,2vY3XKWiQ3gb4o0aXRtHjY,https://p.scdn.co/mp3-preview/e36991c5acbcebe5f936e1fe630ef872a074c564?cid=5753b92e6a084808bea42ea533c53400,0.40700000000000003,0.406,4.0,-6.955,1.0,0.0314,0.534,0.0,0.184,0.501,182.426,blues
77,77,6f3OYG5R630tjwFIHIE7j2,https://p.scdn.co/mp3-preview/2e5cd0cc73d3928099eb97251707026b7c7590e8?cid=5753b92e6a084808bea42ea533c53400,0.775,0.499,4.0,-7.181,1.0,0.0415,0.496,0.0219,0.114,0.862,121.056,blues
78,78,7DJsL4jyXA39GDiHFQYQ0t,https://p.scdn.co/mp3-preview/39f4c8fcddca2044721ae2e1b6d0151211533f5e?cid=5753b92e6a084808bea42ea533c53400,0.565,0.9620000000000001,8.0,-2.9810000000000003,1.0,0.064,0.43700000000000006,0.0,0.055999999999999994,0.9059999999999999,148.808,blues
79,79,2SL0h7FKhJ1O5DcvmvPqU5,https://p.scdn.co/mp3-preview/bec309d4cd0ce78a239fdb13fd7f877d0f9086ca?cid=5753b92e6a084808bea42ea533c53400,0.552,0.44299999999999995,9.0,-9.113,0.0,0.0453,0.0563,0.000173,0.0864,0.5429999999999999,129.888,blues
80,80,4Gia17DzXBhYFbYiJj6SyW,https://p.scdn.co/mp3-preview/95db634a0536a6343e7e35f90bd1213d2bb63a90?cid=5753b92e6a084808bea42ea533c53400,0.633,0.625,0.0,-10.950999999999999,1.0,0.0436,0.49200000000000005,0.00041799999999999997,0.204,0.841,103.355,blues
81,81,0TuPaGnVZ9wwv0qAjCLEin,https://p.scdn.co/mp3-preview/e4adef05270bc3b8e95919e80b3e08f654d25edd?cid=5753b92e6a084808bea42ea533c53400,0.6409999999999999,0.539,7.0,-5.69,0.0,0.0264,0.568,0.00186,0.12,0.6990000000000001,95.94200000000001,blues
82,82,2wAfHM7Whz67VFbdanhZlk,https://p.scdn.co/mp3-preview/584f4fec6f603980fcc16f2213ef6e5d5e42eb65?cid=5753b92e6a084808bea42ea533c53400,0.614,0.0423,4.0,-12.033,1.0,0.0535,0.996,0.00293,0.183,0.21100000000000002,89.822,blues
83,83,618hiI74zBL8UVgAvfmkLj,https://p.scdn.co/mp3-preview/ba8e03f3cfc7e4f835e0f762dd5fd9d757afcf95?cid=5753b92e6a084808bea42ea533c53400,0.462,0.7959999999999999,9.0,-6.202000000000001,1.0,0.0322,0.384,0.0,0.29600000000000004,0.8240000000000001,204.028,blues
86,86,6JctaKRx3ooi2AsIOYoz6Y,https://p.scdn.co/mp3-preview/b95196f104c58e866f9547b1d5621f6fd82f90db?cid=5753b92e6a084808bea42ea533c53400,0.5379999999999999,0.79,9.0,-6.864,1.0,0.0383,0.00829,0.8340000000000001,0.131,0.528,140.017,blues
87,87,5iImAkMeQ7RCk3TMYAPJyC,https://p.scdn.co/mp3-preview/0aa8e3ebd1d0f3c25deb155602fada36030d207d?cid=5753b92e6a084808bea42ea533c53400,0.6679999999999999,0.535,9.0,-8.689,1.0,0.0515,0.149,3.47e-05,0.147,0.812,116.785,blues
88,88,5ga6O7iJ6pV6bKuTwwKwbl,https://p.scdn.co/mp3-preview/873250183d4c3d1684bc619a3a93049e9484ce06?cid=5753b92e6a084808bea42ea533c53400,0.484,0.8640000000000001,10.0,-3.6260000000000003,0.0,0.0349,0.546,0.0,0.0546,0.6920000000000001,104.286,blues
89,89,3mtUR8aNUoMblqX49YzVF3,https://p.scdn.co/mp3-preview/7d4a4c83c677bc5df828cea9e44a19af0f5aee23?cid=5753b92e6a084808bea42ea533c53400,0.6509999999999999,0.462,2.0,-9.011000000000001,1.0,0.0336,0.81,3.3e-06,0.136,0.5670000000000001,80.289,blues
92,92,7MFcqaROxmciD68TsTtZuR,https://p.scdn.co/mp3-preview/1768fbedb37ef64f81e9bbfd72b7900d0559a71f?cid=5753b92e6a084808bea42ea533c53400,0.317,0.7070000000000001,8.0,-10.517999999999999,1.0,0.0324,6.3e-05,0.672,0.0585,0.878,79.882,blues
93,93,76cMRr7SKNMcWvxVJxSBq6,https://p.scdn.co/mp3-preview/84db4412f1289b3a11c68aa239027361cc65a044?cid=5753b92e6a084808bea42ea533c53400,0.355,0.442,7.0,-9.781,1.0,0.0283,0.552,3.14e-06,0.289,0.602,67.815,blues
95,95,5K4C4We3nhtTYCyPEUae1I,https://p.scdn.co/mp3-preview/daaf646e02a9d1695e721f91fe3bb1c02e6d8164?cid=5753b92e6a084808bea42ea533c53400,0.542,0.47600000000000003,4.0,-11.412,1.0,0.0242,0.136,0.172,0.127,0.47,78.975,blues
96,96,0tcJCqyRnUu2gEmt9iLcTO,https://p.scdn.co/mp3-preview/24a2625c02dfa432e446a24115815c91f5fbfeb7?cid=5753b92e6a084808bea42ea533c53400,0.344,0.5920000000000001,9.0,-7.309,1.0,0.0343,0.278,0.000442,0.28600000000000003,0.34600000000000003,112.471,blues
98,98,0tYJ6uY0ETQOtOM8KySMSp,https://p.scdn.co/mp3-preview/6a16026ae1cd29868ca32c64ac7563aeaee14560?cid=5753b92e6a084808bea42ea533c53400,0.5539999999999999,0.49,9.0,-8.725,1.0,0.0267,0.736,0.00728,0.327,0.578,67.59100000000001,blues
